"","1","2","3","4","5","6","7","8","9","10","Mean"
"Intercept",100,100,100,100,100,100,100,100,100,100,100
"MIRS",43,49,48,43,43,51,42,48,44,50,46
"M5ENMO",48,46,46,47,44,59,47,30,42,43,45
"CISactivity",30,39,37,33,35,44,33,40,35,39,36
"PreBORG",25,32,34,29,28,37,26,31,26,34,30
"TMT",13,37,20,13,23,36,22,35,26,33,26
"SexCode",22,26,26,22,22,32,19,23,22,28,24
"ePAL",24,23,28,25,24,23,21,20,21,27,24
"SSLDScore",10,14,26,15,15,11,7,20,7,28,15
"AgeAtOnset",10,17,17,12,12,19,13,14,15,15,14
"IMQ",13,15,17,13,12,17,12,13,14,17,14
"CISFatigue",11,14,15,12,11,14,11,14,11,15,13
"SES28",10,13,17,13,12,19,11,11,11,16,13
"StroopInterference",8,12,25,7,9,11,6,21,13,8,12
"ICQ",9,13,13,10,10,14,11,11,11,14,12
"Mode",11,11,11,10,9,12,8,12,10,13,11
"FDSS",8,12,12,8,9,13,8,9,8,12,10
"Age",7,10,10,9,10,14,8,9,9,12,10
"ASBQ",8,7,11,9,8,28,5,5,8,10,10
"SSLNScore",7,12,10,10,9,16,6,11,9,15,10
"JFCS",8,11,12,10,9,13,9,10,9,13,10
"6MWT",7,10,9,8,8,12,7,7,8,10,9
"AEScScore",8,9,10,9,8,12,7,8,8,10,9
"BDIFs",7,9,11,9,9,12,7,9,8,10,9
"SSLIScore",6,9,10,8,7,11,7,8,8,12,9
"McGillPain",6,10,8,7,7,11,6,7,6,9,8
"MDHI",6,8,8,6,7,11,5,6,7,8,7
"L5ENMO",8,8,9,4,6,12,6,6,5,8,7
"VariantRepeats",5,8,9,7,6,10,5,8,6,8,7
"DM1ActivC",4,6,6,5,5,7,4,6,5,7,6
"INQOLQolScore",5,7,7,5,5,9,4,6,5,7,6
"MeanENMO",3,5,4,4,4,5,4,4,3,2,4
