"","1","2","3","4","5","6","7","8","9","10","Mean"
"Intercept",100,100,100,100,100,100,100,100,100,100,100
"DM1ActivC",90,88,91,89,89,90,90,91,93,91,90
"MIRS",80,79,84,79,80,81,82,82,85,79,81
"SSLIScore",78,75,88,80,75,73,77,81,85,80,79
"nIndications",69,65,68,68,65,68,69,66,76,68,68
"SexCode",65,64,73,64,63,63,73,72,73,64,67
"StroopInterference",65,59,63,58,69,65,64,69,66,64,64
"TMT",66,54,67,58,60,63,67,66,73,63,64
"BDIFs",59,69,61,64,62,65,52,57,64,62,62
"SSLDScore",61,78,48,69,68,72,60,28,75,57,62
"Age",61,50,59,52,56,57,66,60,58,59,58
"6MWT",56,49,56,49,53,52,53,52,57,54,53
"AEScScore",54,55,53,47,48,52,54,55,51,48,52
"PreBORG",48,43,55,53,50,49,51,51,58,49,51
"MDHI",49,46,51,39,46,54,50,54,55,48,49
"SIPScore",48,45,50,40,44,51,50,53,55,52,49
"L5ENMO",37,41,60,47,32,32,58,72,64,34,48
"Mode",47,43,58,39,51,43,50,48,48,55,48
"McGillPain",42,65,48,39,52,56,41,53,44,39,48
"MeanENMO",58,26,30,33,47,41,59,54,47,68,46
"M5ENMO",20,50,64,30,43,50,46,64,53,39,46
"ICQ",42,44,43,47,30,43,47,56,33,45,43
"CISFatigue",42,32,42,29,39,42,44,47,42,38,40
"VariantRepeats",38,42,43,36,40,43,39,37,44,40,40
"CISactivity",38,39,42,31,36,38,41,38,41,35,38
"SES28",35,28,33,30,34,35,40,33,36,31,34
"GradedExerciseTherapy",32,30,36,28,32,34,35,36,37,31,33
"FDSS",31,29,34,27,30,36,35,34,36,31,32
"JFCS",34,26,34,27,28,36,36,35,30,31,32
"ASBQ",23,39,38,20,21,30,35,28,54,26,31
"Sessiontime",28,24,32,24,28,30,33,30,31,30,29
"AgeAtOnset",26,33,29,26,23,29,32,26,27,22,27
"IMQ",26,29,24,22,27,29,23,24,23,27,25
"IndScore",22,21,26,17,21,24,23,27,26,21,23
"ePAL",19,18,24,16,16,20,22,29,26,21,21
"nSessions",19,20,22,17,18,22,21,21,22,21,20
"SSLNScore",18,17,22,16,18,21,20,20,20,21,19
"INQOLQolScore",18,17,19,13,16,21,20,20,20,17,18
