"","1","2","3","4","5","6","7","8","9","10","Mean"
"Intercept",100,100,100,100,100,100,100,100,100,100,100
"PreBORG",27,32,29,33,26,28,40,29,32,29,30
"CISFatigue",27,32,27,33,24,28,37,28,31,29,30
"MIRS",25,28,25,29,23,26,36,28,30,26,28
"IMQ",21,20,21,25,20,27,30,23,30,22,24
"JFCS",21,21,18,25,15,22,28,23,23,16,21
"DM1ActivC",16,22,19,22,17,20,30,18,22,19,20
"MDHI",17,22,19,21,16,17,28,18,21,19,20
"SSLDScore",16,26,20,17,8,8,37,14,27,20,19
"SES28",18,15,16,21,17,18,33,23,16,17,19
"SexCode",15,17,18,20,14,17,23,17,19,16,18
"SSLIScore",15,16,11,14,17,19,32,20,17,18,18
"Mode",15,16,16,14,13,15,24,16,18,16,16
"L5ENMO",10,12,12,21,6,17,15,11,18,14,14
"INQOLQolScore",12,13,11,15,10,13,16,11,15,12,13
"AgeAtOnset",14,16,9,17,9,18,19,8,15,8,13
"TMT",10,13,14,18,9,10,17,11,15,10,13
"ICQ",9,17,8,16,11,9,24,11,14,15,13
"SSLNScore",10,14,14,14,7,10,21,9,13,11,12
"StroopInterference",7,11,9,10,6,8,17,7,13,11,10
"MeanENMO",8,12,7,12,5,7,12,8,13,11,10
"VariantRepeats",8,11,9,12,8,9,16,9,11,10,10
"ePAL",6,13,8,10,7,14,18,10,10,7,10
"McGillPain",7,12,10,12,7,10,18,8,11,9,10
"ASBQ",7,14,7,14,9,6,16,6,12,11,10
"CISactivity",8,11,7,12,7,9,13,9,11,9,10
"Age",7,8,8,10,7,9,13,8,9,9,9
"6MWT",6,11,9,12,5,7,12,6,10,7,8
"FDSS",6,8,7,13,5,7,9,8,9,9,8
"AEScScore",5,7,6,8,4,6,9,5,8,5,6
"BDIFs",5,7,6,7,4,5,10,6,7,6,6
"M5ENMO",3,3,3,5,4,4,19,2,3,2,5
